PfiFlowDefinition,Description,IsFlowEnabled,IsSubProcess,NotifyByEmail
"FSM_ION_SyncReceiveDelivery_Outbound","FSM_ION_SyncReceiveDelivery_Outbound","Yes","No","None"
"FSM_ION_SyncRemitToPartyMaster_Out","FSM_ION_SyncRemitToPartyMaster_Out","Yes","No","None"
"FSM_ION_SyncRemittanceAdvice_Outbound","FSM_ION_SyncRemittanceAdvice_Outbound","Yes","No","None"
"FSM_ION_SyncRequisitionReturn_Out","FSM_ION_SyncRequisitionReturn_Out","Yes","No","None"
"FSM_ION_SyncRequisition_Inbound","FSM_ION_SyncRequisition_Inbound","Yes","No","None"
"FSM_ION_SyncRequisition_Outbound","FSM_ION_SyncRequisition_Outbound","Yes","No","None"
"FSM_ION_SyncSalesOrder_Out","FSM_ION_SyncSalesOrder_Out","Yes","No","None"
"FSM_ION_SyncShipFromPartyMaster_Out","FSM_ION_SyncShipFromPartyMaster_Out","Yes","No","None"
"FSM_ION_SyncShipToPartyMaster_Out","FSM_ION_SyncShipToPartyMaster_Out","Yes","No","None"
"FSM_ION_SyncShipment_Inbound","FSM_ION_SyncShipment_Inbound","Yes","No","None"
"FSM_ION_SyncShipment_Outbound","FSM_ION_SyncShipment_Outbound","Yes","No","None"
"FSM_ION_SyncSourceSystemGLMovement_Out","FSM_ION_SyncSourceSystemGLMovement_Out","Yes","No","None"
"FSM_ION_SyncSourceSystemJournalEntry_Inbound","FSM_ION_SyncSourceSystemJournalEntry_Inbound","Yes","No","None"
"FSM_ION_SyncSourceSystemJournalEntry_Out","FSM_ION_SyncSourceSystemJournalEntry_Out","Yes","No","None"
"FSM_ION_SyncSupplierBalance_Out","FSM_ION_SyncSupplierBalance_Out","Yes","No","None"
"FSM_ION_SyncSupplierInvoice_Inbound","FSM_ION_SyncSupplierInvoice_Inbound","Yes","No","None"
"FSM_ION_SyncSupplierInvoice_Outbound","FSM_ION_SyncSupplierInvoice_Outbound","Yes","No","None"
"FSM_ION_SyncSupplierPartyMaster_Inbound","FSM_ION_SyncSupplierPartyMaster_Inbound","Yes","No","None"
"FSM_ION_SyncSupplierPartyMaster_Out","FSM_ION_SyncSupplierPartyMaster_Out","Yes","No","None"
"FSM_ION_SyncSupplierRMA_Inbound","FSM_ION_SyncSupplierRMA_Inbound","Yes","No","None"
"FSM_ION_SyncSupplierRMA_Outbound","FSM_ION_SyncSupplierRMA_Outbound","Yes","No","None"
"FSM_ION_WHBatchCreationAlert","FSM_ION_WHBatchCreationAlert","Yes","No","None"
"FSM_ION_WHShipmentCreationAlert","FSM_ION_WHShipmentCreationAlert","Yes","No","None"
"FSM_ION_WarehouseDemandCancelAlert","FSM_ION_WarehouseDemandCancelAlert","Yes","No","None"
"FSM_Strata_APCapital_Export","FSM_Strata_APCapital_Export","Yes","No","None"
